date,value_date,counterparty,entity,currency,category,method,amount_local,amount_usd,ref,status,reconciled
2026-06-08,2026-06-10,Greenfield Energy,Cobalt Europe B.V.,EUR,AR collection,SEPA,1898021,2057834,AR-0608-02,posted,true
2026-06-08,2026-06-08,Cascade Health Systems,Cobalt Inc.,USD,AR collection,ACH,1272494,1272494,AR-0608-03,posted,true
2026-06-08,2026-06-08,BNP Paribas,Cobalt UK Ltd.,GBP,FX settle,Wire,2961245,3763742,FX-0608-01,posted,true
2026-06-08,2026-06-08,Brex Treasury,Cobalt Inc.,USD,Interest,Internal,215520,215520,INT-0608-01,posted,true
2026-06-08,2026-06-08,JPMorgan Chase,Cobalt Inc.,USD,Interest,Internal,115859,115859,INT-0608-02,posted,true
2026-06-08,2026-06-08,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-10157030,-10157030,SWEEP-0608-01,posted,true
2026-06-09,2026-06-10,Aperture Devices,Cobalt APAC Pte.,SGD,AR collection,Wire,1934762,1431724,AR-0609-01,posted,true
2026-06-09,2026-06-10,Sequoia Components,Cobalt Europe B.V.,EUR,AR collection,SEPA,2008678,2177809,AR-0609-02,posted,true
2026-06-09,2026-06-11,Atlas Freight Co.,Cobalt APAC Pte.,SGD,AR collection,Wire,2917264,2158775,AR-0609-03,posted,true
2026-06-09,2026-06-09,Atlas Freight Co.,Cobalt Europe B.V.,EUR,AR collection,SEPA,1022435,1108524,AR-0609-04,posted,true
2026-06-09,2026-06-09,Meridian Foods Corp,Cobalt Europe B.V.,EUR,AR collection,SEPA,2131883,2311388,AR-0609-05,posted,true
2026-06-09,2026-06-10,JPMorgan Chase,Cobalt Inc.,USD,MMF sweep,Internal,-8967964,-8967964,SWEEP-0609-01,posted,true
2026-06-10,2026-06-10,ServiceNow Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-462317,-587605,AP-0610-01,posted,true
2026-06-10,2026-06-10,Oracle Corp.,Cobalt Europe B.V.,EUR,AP run,SEPA,-361801,-392265,AP-0610-02,posted,true
2026-06-10,2026-06-12,AWS EMEA SARL,Cobalt Europe B.V.,EUR,AP run,SEPA,-589038,-638635,AP-0610-03,posted,true
2026-06-10,2026-06-10,Flexport Inc.,Cobalt Inc.,USD,AP run,ACH,-544854,-544854,AP-0610-04,posted,true
2026-06-10,2026-06-10,Vantage Pharma,Cobalt Inc.,USD,AR collection,ACH,1288344,1288344,AR-0610-01,posted,true
2026-06-10,2026-06-11,Meridian Foods Corp,Cobalt Europe B.V.,EUR,AR collection,SEPA,1070938,1161111,AR-0610-02,posted,true
2026-06-10,2026-06-10,Lumen Retail Partners,Cobalt Inc.,USD,AR collection,ACH,2088722,2088722,AR-0610-03,posted,true
2026-06-10,2026-06-10,Sequoia Components,Cobalt Europe B.V.,EUR,AR collection,SEPA,2129252,2308535,AR-0610-04,posted,true
2026-06-10,2026-06-10,Vertiv Holdings,Cobalt APAC Pte.,SGD,Capex,Wire,-980000,-725200,CAPX-0610-01,posted,true
2026-06-10,2026-06-12,Brex Treasury,Cobalt Inc.,USD,MMF sweep,Internal,-10611979,-10611979,SWEEP-0610-01,posted,true
2026-06-11,2026-06-11,Iron Mountain,Cobalt UK Ltd.,GBP,AP run,SEPA,-770406,-979186,AP-0611-01,posted,true
2026-06-11,2026-06-13,Salesforce Inc.,Cobalt UK Ltd.,GBP,AP run,SEPA,-424063,-538984,AP-0611-02,posted,true
2026-06-11,2026-06-11,Aperture Devices,Cobalt Inc.,USD,AR collection,ACH,1407850,1407850,AR-0611-01,posted,true
2026-06-11,2026-06-11,Lumen Retail Partners,Cobalt Europe B.V.,EUR,AR collection,SEPA,975440,1057572,AR-0611-02,posted,true
2026-06-11,2026-06-13,Halcyon Media,Cobalt UK Ltd.,GBP,AR collection,Wire,844584,1073466,AR-0611-03,posted,true
2026-06-11,2026-06-13,Sterling Retail Group,Cobalt Inc.,USD,AR collection,ACH,1302706,1302706,AR-0611-04,posted,true
2026-06-11,2026-06-11,Cascade Health Systems,Cobalt Europe B.V.,EUR,AR collection,SEPA,2317363,2512485,AR-0611-05,posted,true
2026-06-11,2026-06-13,Sequoia Components,Cobalt Inc.,USD,AR collection,ACH,2005056,2005056,AR-0611-06,posted,true
2026-06-11,2026-06-11,Aperture Devices,Cobalt Europe B.V.,EUR,AR collection,SEPA,1327289,1439047,AR-0611-07,posted,true
2026-06-11,2026-06-12,Sterling Retail Group,Cobalt Inc.,USD,AR collection,ACH,1476301,1476301,AR-0611-08,posted,true
2026-06-11,2026-06-11,Atlas Freight Co.,Cobalt Inc.,USD,AR collection,ACH,1112245,1112245,AR-0611-09,posted,true
2026-06-11,2026-06-12,Veridian Industries,Cobalt Inc.,USD,AR collection,ACH,2041939,2041939,AR-0611-10,posted,true
2026-06-11,2026-06-11,JPMorgan Chase,Cobalt Europe B.V.,EUR,MMF sweep,Internal,-8876264,-9623645,SWEEP-0611-01,posted,true
2026-06-12,2026-06-13,Marsh Insurance,Cobalt UK Ltd.,GBP,AP run,SEPA,-555488,-706025,AP-0612-01,posted,true
2026-06-12,2026-06-12,Equinix Data Centers,Cobalt Europe B.V.,EUR,AP run,SEPA,-281554,-305261,AP-0612-02,pending,false
2026-06-12,2026-06-12,DHL Global Forwarding,Cobalt Europe B.V.,EUR,AP run,SEPA,-504257,-546715,AP-0612-03,posted,true
2026-06-12,2026-06-13,ServiceNow Inc.,Cobalt Inc.,USD,AP run,ACH,-750887,-750887,AP-0612-04,posted,true
2026-06-12,2026-06-13,Veridian Industries,Cobalt Europe B.V.,EUR,AR collection,SEPA,1528481,1657179,AR-0612-01,posted,true
2026-06-12,2026-06-13,Cobalt Inc.,Cobalt APAC Pte.,SGD,Intercompany,Wire,1352601,1000925,ICO-0612-01,posted,true
2026-06-12,2026-06-12,ADP Payroll,Cobalt Inc.,USD,Payroll,ACH,-3202105,-3202105,PAYR-0612-01,pending,false
2026-06-12,2026-06-12,ADP Payroll,Cobalt Europe B.V.,EUR,Payroll,SEPA,-1243157,-1347831,PAYR-0612-02,pending,false
2026-06-12,2026-06-12,ADP Payroll,Cobalt UK Ltd.,GBP,Payroll,FPS,-906245,-1151837,PAYR-0612-03,pending,false
2026-06-12,2026-06-12,ADP Payroll,Cobalt APAC Pte.,SGD,Payroll,Wire,-1472679,-1089782,PAYR-0612-04,posted,true
2026-06-12,2026-06-12,Brex Treasury,Cobalt Inc.,USD,MMF sweep,Internal,-6285646,-6285646,SWEEP-0612-01,pending,false
2026-06-13,2026-06-13,IRS,Cobalt Inc.,USD,Tax payment,Wire,-2750000,-2750000,TAX-0613-FED,pending,false
